
 alpha             beta            gamma           k       noise           iteration                       D1_rel          D2_rel         Boudnary_1       Boundary_2 
 1.0e-06 	 & 1.0e+02 	 & 1.0e+00 	 & 10 	 & 0.300 	 & 136                       	 & +0.715 	 & +0.020 	 & +0.034 	 & +0.037 \\ 
 1.0e-06 	 & 1.0e+02 	 & 1.0e+00 	 & 10 	 & 0.975 	 & 163                       	 & +0.910 	 & -0.028 	 & +0.037 	 & +0.041 \\ 
 1.0e-06 	 & 1.0e+02 	 & 1.0e+00 	 & 20 	 & 0.000 	 & 258                       	 & +0.402 	 & -0.016 	 & +0.031 	 & +0.037 \\ 
 1.0e-06 	 & 1.0e+02 	 & 1.0e+00 	 & 20 	 & 0.300 	 & 267                       	 & +0.423 	 & -0.021 	 & +0.031 	 & +0.037 \\ 
 1.0e-06 	 & 1.0e+02 	 & 1.0e+00 	 & 20 	 & 0.975 	 & 372                       	 & +0.576 	 & -0.052 	 & +0.034 	 & +0.041 \\ 
 1.0e-06 	 & 1.0e+02 	 & 1.0e+02 	 & 5 	 & 0.000 	 & 2001                       	 & +2.080 	 & +0.056 	 & +0.060 	 & +0.053 \\ 
 1.0e-06 	 & 1.0e+02 	 & 1.0e+02 	 & 5 	 & 0.300 	 & 2001                       	 & +2.152 	 & +0.060 	 & +0.060 	 & +0.053 \\ 
 1.0e-06 	 & 1.0e+02 	 & 1.0e+02 	 & 5 	 & 0.975 	 & 2001                       	 & +2.679 	 & +0.004 	 & +0.061 	 & +0.054 \\ 
 1.0e-04 	 & 1.0e-04 	 & 0.0e+00 	 & 5 	 & 0.000 	 & 65                       	 & -0.049 	 & +0.054 	 & +0.099 	 & +0.109 \\ 
 1.0e-04 	 & 1.0e-04 	 & 0.0e+00 	 & 5 	 & 0.300 	 & 74                       	 & -0.038 	 & +0.053 	 & +0.103 	 & +0.113 \\ 
 1.0e-04 	 & 1.0e-04 	 & 0.0e+00 	 & 5 	 & 0.975 	 & 164                       	 & +0.129 	 & -0.066 	 & +0.147 	 & +0.143 \\ 
 1.0e-04 	 & 1.0e-04 	 & 0.0e+00 	 & 10 	 & 0.000 	 & 26                       	 & -0.042 	 & +0.022 	 & +0.023 	 & +0.025 \\ 
 1.0e-04 	 & 1.0e-04 	 & 0.0e+00 	 & 10 	 & 0.300 	 & 108                       	 & -0.031 	 & +0.023 	 & +0.033 	 & +0.032 \\ 
 1.0e-04 	 & 1.0e-04 	 & 0.0e+00 	 & 10 	 & 0.975 	 & 154                       	 & +0.182 	 & -0.054 	 & +0.187 	 & +0.101 \\ 
